state,candidate_name,pct_trend_adjusted
Minnesota,Convention Bounce for Donald Trump,40.2116293939394
Minnesota,Convention Bounce for Joseph R. Biden Jr.,39.93293090909091
Minnesota,Donald Trump,41.86690424242425
Minnesota,Joseph R. Biden Jr.,50.60538666666666
Mississippi,Convention Bounce for Donald Trump,42.06085545454546
Mississippi,Convention Bounce for Joseph R. Biden Jr.,41.04937303030303
Mississippi,Donald Trump,53.98321303030303
Mississippi,Joseph R. Biden Jr.,40.02440636363636
Missouri,Convention Bounce for Donald Trump,40.603303333333336
Missouri,Convention Bounce for Joseph R. Biden Jr.,40.42273969696969
Missouri,Donald Trump,51.0319893939394
Missouri,Joseph R. Biden Jr.,44.74992090909091
Montana,Convention Bounce for Donald Trump,40.67634909090909
Montana,Convention Bounce for Joseph R. Biden Jr.,40.161170303030296
Montana,Donald Trump,51.2956693939394
Montana,Joseph R. Biden Jr.,43.82094727272727
NE-1,Convention Bounce for Donald Trump,41.705392727272724
NE-1,Convention Bounce for Joseph R. Biden Jr.,38.786921818181824
NE-1,Donald Trump,50.08205848484848
NE-1,Joseph R. Biden Jr.,45.498748484848484
NE-2,Convention Bounce for Donald Trump,40.21736787878788
NE-2,Convention Bounce for Joseph R. Biden Jr.,39.00180272727274
NE-2,Donald Trump,43.61099878787879
NE-2,Joseph R. Biden Jr.,50.24467515151515
National,Convention Bounce for Donald Trump,39.71457424242424
National,Convention Bounce for Joseph R. Biden Jr.,39.95339060606061
National,Donald Trump,42.46397575757576
National,Joseph R. Biden Jr.,51.89642787878788
Nebraska,Convention Bounce for Donald Trump,40.579780645161286
Nebraska,Convention Bounce for Joseph R. Biden Jr.,40.52941161290322
Nebraska,Donald Trump,51.89703741935484
Nebraska,Joseph R. Biden Jr.,43.30396935483871
Nevada,Convention Bounce for Donald Trump,39.57441969696969
Nevada,Convention Bounce for Joseph R. Biden Jr.,39.89813969696969
Nevada,Donald Trump,43.28569818181819
Nevada,Joseph R. Biden Jr.,49.61398272727273
New Hampshire,Convention Bounce for Donald Trump,39.73516484848485
New Hampshire,Convention Bounce for Joseph R. Biden Jr.,39.97529878787879
New Hampshire,Donald Trump,42.66449757575757
New Hampshire,Joseph R. Biden Jr.,53.53235727272728
New Jersey,Convention Bounce for Donald Trump,40.333206969696974
New Jersey,Convention Bounce for Joseph R. Biden Jr.,40.07672666666667
New Jersey,Donald Trump,36.60142909090909
New Jersey,Joseph R. Biden Jr.,56.65583212121212
